Month,DivisionCode,Division,CPI Index,YoY %
1981-01-01,01,Food & Beverages,35.8,8.16
1981-01-01,02,Alcoholic Beverages & Tobacco,19.9,15.03
1981-01-01,03,Clothing & Footwear,91.9,8.5
1981-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",52.2,10.36
1981-01-01,05,Furnishings & Household Maintenance,62.3,6.86
1981-01-01,06,Health,40.9,8.49
1981-01-01,07,Transport,40.3,11.33
1981-01-01,09,"Recreation, Sport & Culture",71.6,4.07
1981-01-01,overall,Overall CPI,43.5,8.21
1981-02-01,01,Food & Beverages,36.7,10.21
1981-02-01,02,Alcoholic Beverages & Tobacco,20.0,15.61
1981-02-01,03,Clothing & Footwear,92.8,9.43
1981-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",52.2,9.89
1981-02-01,05,Furnishings & Household Maintenance,62.6,7.01
1981-02-01,06,Health,41.1,8.16
1981-02-01,07,Transport,40.6,12.15
1981-02-01,09,"Recreation, Sport & Culture",72.0,4.05
1981-02-01,overall,Overall CPI,44.0,8.91
1981-03-01,01,Food & Beverages,37.1,11.41
1981-03-01,02,Alcoholic Beverages & Tobacco,20.5,18.5
1981-03-01,03,Clothing & Footwear,93.8,9.71
1981-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",52.2,9.89
1981-03-01,05,Furnishings & Household Maintenance,63.1,7.13
1981-03-01,06,Health,41.2,8.14
1981-03-01,07,Transport,40.6,11.85
1981-03-01,09,"Recreation, Sport & Culture",72.1,4.34
1981-03-01,overall,Overall CPI,44.4,9.9
1981-04-01,01,Food & Beverages,37.1,11.75
1981-04-01,02,Alcoholic Beverages & Tobacco,20.5,17.14
1981-04-01,03,Clothing & Footwear,93.9,9.7
1981-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",52.2,9.89
1981-04-01,05,Furnishings & Household Maintenance,63.4,7.46
1981-04-01,06,Health,41.9,9.97
1981-04-01,07,Transport,40.7,11.81
1981-04-01,09,"Recreation, Sport & Culture",72.4,4.78
1981-04-01,overall,Overall CPI,44.6,10.95
1981-05-01,01,Food & Beverages,37.2,11.38
1981-05-01,02,Alcoholic Beverages & Tobacco,20.5,17.14
1981-05-01,03,Clothing & Footwear,94.4,9.51
1981-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",52.7,9.34
1981-05-01,05,Furnishings & Household Maintenance,63.6,7.07
1981-05-01,06,Health,42.2,9.61
1981-05-01,07,Transport,41.6,10.64
1981-05-01,09,"Recreation, Sport & Culture",73.3,6.08
1981-05-01,overall,Overall CPI,44.8,10.34
1981-06-01,01,Food & Beverages,37.6,11.57
1981-06-01,02,Alcoholic Beverages & Tobacco,20.5,17.14
1981-06-01,03,Clothing & Footwear,94.9,9.58
1981-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",53.1,7.71
1981-06-01,05,Furnishings & Household Maintenance,64.0,6.67
1981-06-01,06,Health,42.3,9.59
1981-06-01,07,Transport,42.1,11.67
1981-06-01,09,"Recreation, Sport & Culture",73.3,5.92
1981-06-01,overall,Overall CPI,45.1,10.0
1981-07-01,01,Food & Beverages,37.7,11.21
1981-07-01,02,Alcoholic Beverages & Tobacco,20.5,12.02
1981-07-01,03,Clothing & Footwear,95.3,9.79
1981-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",54.7,10.73
1981-07-01,05,Furnishings & Household Maintenance,64.5,6.79
1981-07-01,06,Health,42.5,9.54
1981-07-01,07,Transport,42.4,11.87
1981-07-01,09,"Recreation, Sport & Culture",73.7,6.2
1981-07-01,overall,Overall CPI,45.5,10.17
1981-08-01,01,Food & Beverages,38.2,12.35
1981-08-01,02,Alcoholic Beverages & Tobacco,20.6,11.96
1981-08-01,03,Clothing & Footwear,95.6,9.01
1981-08-01,04,"Housing, Water, Electricity, Gas & Other Fuels",54.7,10.28
1981-08-01,05,Furnishings & Household Maintenance,64.7,6.59
1981-08-01,06,Health,42.7,8.65
1981-08-01,07,Transport,42.5,7.59
1981-08-01,09,"Recreation, Sport & Culture",74.1,6.77
1981-08-01,overall,Overall CPI,45.8,9.83
1981-09-01,01,Food & Beverages,38.3,13.65
1981-09-01,02,Alcoholic Beverages & Tobacco,20.6,11.35
1981-09-01,03,Clothing & Footwear,95.8,8.62
1981-09-01,04,"Housing, Water, Electricity, Gas & Other Fuels",54.7,9.84
1981-09-01,05,Furnishings & Household Maintenance,64.9,6.57
1981-09-01,06,Health,43.0,8.31
1981-09-01,07,Transport,42.6,6.23
1981-09-01,09,"Recreation, Sport & Culture",74.1,6.62
1981-09-01,overall,Overall CPI,46.0,10.58
1981-10-01,01,Food & Beverages,38.3,12.65
1981-10-01,02,Alcoholic Beverages & Tobacco,20.6,11.35
1981-10-01,03,Clothing & Footwear,96.3,8.94
1981-10-01,04,"Housing, Water, Electricity, Gas & Other Fuels",54.7,9.62
1981-10-01,05,Furnishings & Household Maintenance,65.0,6.04
1981-10-01,06,Health,43.3,8.25
1981-10-01,07,Transport,42.6,5.71
1981-10-01,09,"Recreation, Sport & Culture",74.2,6.76
1981-10-01,overall,Overall CPI,46.0,10.05
1981-11-01,01,Food & Beverages,38.5,11.92
1981-11-01,02,Alcoholic Beverages & Tobacco,20.6,4.57
1981-11-01,03,Clothing & Footwear,96.5,8.06
1981-11-01,04,"Housing, Water, Electricity, Gas & Other Fuels",54.7,9.4
1981-11-01,05,Furnishings & Household Maintenance,65.1,5.68
1981-11-01,06,Health,43.4,7.96
1981-11-01,07,Transport,42.8,4.65
1981-11-01,09,"Recreation, Sport & Culture",74.2,5.4
1981-11-01,overall,Overall CPI,46.1,8.73
1981-12-01,01,Food & Beverages,39.0,11.75
1981-12-01,02,Alcoholic Beverages & Tobacco,20.7,5.08
1981-12-01,03,Clothing & Footwear,96.5,6.98
1981-12-01,04,"Housing, Water, Electricity, Gas & Other Fuels",54.7,9.18
1981-12-01,05,Furnishings & Household Maintenance,65.2,5.33
1981-12-01,06,Health,43.4,6.9
1981-12-01,07,Transport,43.0,5.13
1981-12-01,09,"Recreation, Sport & Culture",74.3,4.5
1981-12-01,overall,Overall CPI,46.3,8.43
1982-01-01,01,Food & Beverages,39.4,10.06
1982-01-01,02,Alcoholic Beverages & Tobacco,20.7,4.02
1982-01-01,03,Clothing & Footwear,97.1,5.66
1982-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,7.85
1982-01-01,05,Furnishings & Household Maintenance,65.5,5.14
1982-01-01,06,Health,43.6,6.6
1982-01-01,07,Transport,43.0,6.7
1982-01-01,09,"Recreation, Sport & Culture",74.9,4.61
1982-01-01,overall,Overall CPI,46.8,7.59
1982-02-01,01,Food & Beverages,39.9,8.72
1982-02-01,02,Alcoholic Beverages & Tobacco,20.7,3.5
1982-02-01,03,Clothing & Footwear,97.6,5.17
1982-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,7.85
1982-02-01,05,Furnishings & Household Maintenance,65.6,4.79
1982-02-01,06,Health,43.8,6.57
1982-02-01,07,Transport,43.0,5.91
1982-02-01,09,"Recreation, Sport & Culture",75.1,4.31
1982-02-01,overall,Overall CPI,47.1,7.05
1982-03-01,01,Food & Beverages,40.0,7.82
1982-03-01,02,Alcoholic Beverages & Tobacco,20.8,1.46
1982-03-01,03,Clothing & Footwear,97.6,4.05
1982-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,7.85
1982-03-01,05,Furnishings & Household Maintenance,65.7,4.12
1982-03-01,06,Health,44.0,6.8
1982-03-01,07,Transport,43.1,6.16
1982-03-01,09,"Recreation, Sport & Culture",75.2,4.3
1982-03-01,overall,Overall CPI,47.2,6.31
1982-04-01,01,Food & Beverages,40.1,8.09
1982-04-01,02,Alcoholic Beverages & Tobacco,20.8,1.46
1982-04-01,03,Clothing & Footwear,97.7,4.05
1982-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,7.85
1982-04-01,05,Furnishings & Household Maintenance,65.8,3.79
1982-04-01,06,Health,44.1,5.25
1982-04-01,07,Transport,43.1,5.9
1982-04-01,09,"Recreation, Sport & Culture",75.3,4.01
1982-04-01,overall,Overall CPI,47.4,6.28
1982-05-01,01,Food & Beverages,40.4,8.6
1982-05-01,02,Alcoholic Beverages & Tobacco,21.3,3.9
1982-05-01,03,Clothing & Footwear,98.0,3.81
1982-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.3,6.83
1982-05-01,05,Furnishings & Household Maintenance,65.9,3.62
1982-05-01,06,Health,44.2,4.74
1982-05-01,07,Transport,43.1,3.61
1982-05-01,09,"Recreation, Sport & Culture",75.5,3.0
1982-05-01,overall,Overall CPI,47.5,6.03
1982-06-01,01,Food & Beverages,40.7,8.24
1982-06-01,02,Alcoholic Beverages & Tobacco,21.3,3.9
1982-06-01,03,Clothing & Footwear,98.4,3.69
1982-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",56.7,6.78
1982-06-01,05,Furnishings & Household Maintenance,66.0,3.13
1982-06-01,06,Health,44.5,5.2
1982-06-01,07,Transport,43.1,2.38
1982-06-01,09,"Recreation, Sport & Culture",75.6,3.14
1982-06-01,overall,Overall CPI,47.7,5.76
1982-07-01,01,Food & Beverages,40.8,8.22
1982-07-01,02,Alcoholic Beverages & Tobacco,21.3,3.9
1982-07-01,03,Clothing & Footwear,98.7,3.57
1982-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",57.9,5.85
1982-07-01,05,Furnishings & Household Maintenance,66.2,2.64
1982-07-01,06,Health,44.6,4.94
1982-07-01,07,Transport,43.2,1.89
1982-07-01,09,"Recreation, Sport & Culture",75.6,2.58
1982-07-01,overall,Overall CPI,48.0,5.49
1982-08-01,01,Food & Beverages,40.9,7.07
