Month,State,CPI Index,YoY %
2011-01-01,Johor,101.7,2.31
2011-01-01,Kedah,101.8,2.21
2011-01-01,Kelantan,102.4,3.33
2011-01-01,Melaka,101.8,2.31
2011-01-01,Negeri Sembilan,102.1,2.82
2011-01-01,Pahang,101.6,2.21
2011-01-01,Perak,101.8,2.41
2011-01-01,Perlis,102.5,3.54
2011-01-01,Pulau Pinang,101.9,2.52
2011-01-01,Sabah,101.9,2.52
2011-01-01,Sarawak,101.6,2.42
2011-01-01,Selangor,101.8,2.52
2011-01-01,Terengganu,102.3,3.13
2011-01-01,W.P. Kuala Lumpur,101.6,2.21
2011-01-01,W.P. Labuan,101.1,1.71
2011-01-01,W.P. Putrajaya,101.8,2.11
2011-02-01,Johor,102.4,3.02
2011-02-01,Kedah,102.3,2.81
2011-02-01,Kelantan,102.6,3.64
2011-02-01,Melaka,102.3,2.81
2011-02-01,Negeri Sembilan,102.8,3.52
2011-02-01,Pahang,102.0,2.72
2011-02-01,Perak,102.2,2.82
2011-02-01,Perlis,102.5,3.64
2011-02-01,Pulau Pinang,102.3,2.81
2011-02-01,Sabah,102.1,2.41
2011-02-01,Sarawak,102.1,2.72
2011-02-01,Selangor,102.5,3.22
2011-02-01,Terengganu,102.5,3.43
2011-02-01,W.P. Kuala Lumpur,101.9,2.52
2011-02-01,W.P. Labuan,101.3,1.71
2011-02-01,W.P. Putrajaya,102.5,2.91
2011-03-01,Johor,102.3,2.92
2011-03-01,Kedah,102.4,3.12
2011-03-01,Kelantan,102.8,3.84
2011-03-01,Melaka,102.2,2.82
2011-03-01,Negeri Sembilan,102.8,3.63
2011-03-01,Pahang,102.1,2.82
2011-03-01,Perak,102.3,2.92
2011-03-01,Perlis,103.3,4.45
2011-03-01,Pulau Pinang,102.4,3.12
2011-03-01,Sabah,102.2,2.51
2011-03-01,Sarawak,102.1,2.72
2011-03-01,Selangor,102.6,3.22
2011-03-01,Terengganu,102.5,3.43
2011-03-01,W.P. Kuala Lumpur,102.0,2.62
2011-03-01,W.P. Labuan,101.4,1.81
2011-03-01,W.P. Putrajaya,102.6,3.01
2011-04-01,Johor,102.5,3.12
2011-04-01,Kedah,102.6,3.32
2011-04-01,Kelantan,103.3,4.13
2011-04-01,Melaka,102.4,3.02
2011-04-01,Negeri Sembilan,103.2,3.93
2011-04-01,Pahang,102.5,3.12
2011-04-01,Perak,102.5,3.12
2011-04-01,Perlis,103.6,4.86
2011-04-01,Pulau Pinang,102.6,3.22
2011-04-01,Sabah,102.5,2.81
2011-04-01,Sarawak,102.2,2.82
2011-04-01,Selangor,102.8,3.42
2011-04-01,Terengganu,103.1,3.93
2011-04-01,W.P. Kuala Lumpur,102.2,2.71
2011-04-01,W.P. Labuan,101.6,1.8
2011-04-01,W.P. Putrajaya,102.9,3.31
2011-05-01,Johor,102.8,3.21
2011-05-01,Kedah,102.9,3.42
2011-05-01,Kelantan,103.8,4.43
2011-05-01,Melaka,102.5,2.91
2011-05-01,Negeri Sembilan,103.5,4.02
2011-05-01,Pahang,102.8,3.01
2011-05-01,Perak,102.8,3.21
2011-05-01,Perlis,102.2,2.82
2011-05-01,Pulau Pinang,102.8,3.32
2011-05-01,Sabah,102.5,2.91
2011-05-01,Sarawak,102.4,2.91
2011-05-01,Selangor,103.1,3.51
2011-05-01,Terengganu,103.3,3.82
2011-05-01,W.P. Kuala Lumpur,102.4,2.71
2011-05-01,W.P. Labuan,103.5,3.71
2011-05-01,W.P. Putrajaya,103.1,3.51
2011-06-01,Johor,103.3,3.51
2011-06-01,Kedah,103.1,3.41
2011-06-01,Kelantan,104.1,4.41
2011-06-01,Melaka,102.8,3.11
2011-06-01,Negeri Sembilan,103.8,4.11
2011-06-01,Pahang,103.1,3.2
2011-06-01,Perak,103.0,3.31
2011-06-01,Perlis,102.3,2.81
2011-06-01,Pulau Pinang,103.2,3.61
2011-06-01,Sabah,102.6,3.12
2011-06-01,Sarawak,102.5,2.91
2011-06-01,Selangor,103.4,3.61
2011-06-01,Terengganu,103.8,3.9
2011-06-01,W.P. Kuala Lumpur,102.6,2.7
2011-06-01,W.P. Labuan,103.5,3.71
2011-06-01,W.P. Putrajaya,103.3,3.61
2011-07-01,Johor,103.6,3.5
2011-07-01,Kedah,103.3,3.4
2011-07-01,Kelantan,104.3,4.3
2011-07-01,Melaka,103.0,2.9
2011-07-01,Negeri Sembilan,104.1,4.2
2011-07-01,Pahang,103.3,3.2
2011-07-01,Perak,103.2,3.2
2011-07-01,Perlis,102.5,2.6
2011-07-01,Pulau Pinang,103.5,3.5
2011-07-01,Sabah,103.0,3.31
2011-07-01,Sarawak,102.6,2.81
2011-07-01,Selangor,103.6,3.6
2011-07-01,Terengganu,104.1,4.1
2011-07-01,W.P. Kuala Lumpur,102.8,2.7
2011-07-01,W.P. Labuan,103.9,3.9
2011-07-01,W.P. Putrajaya,103.3,3.4
2011-08-01,Johor,103.7,3.39
2011-08-01,Kedah,103.4,3.19
2011-08-01,Kelantan,104.6,4.08
2011-08-01,Melaka,103.0,2.69
2011-08-01,Negeri Sembilan,104.2,3.89
2011-08-01,Pahang,103.4,3.09
2011-08-01,Perak,103.3,2.99
2011-08-01,Perlis,102.6,1.89
2011-08-01,Pulau Pinang,103.8,3.49
2011-08-01,Sabah,103.4,3.4
2011-08-01,Sarawak,102.8,2.49
2011-08-01,Selangor,103.8,3.59
2011-08-01,Terengganu,104.3,3.88
2011-08-01,W.P. Kuala Lumpur,102.9,2.59
2011-08-01,W.P. Labuan,104.2,3.99
2011-08-01,W.P. Putrajaya,103.4,3.3
2011-09-01,Johor,103.9,3.59
2011-09-01,Kedah,103.7,3.6
2011-09-01,Kelantan,104.7,4.08
2011-09-01,Melaka,103.4,3.09
2011-09-01,Negeri Sembilan,104.4,4.09
2011-09-01,Pahang,103.6,3.39
2011-09-01,Perak,103.5,3.19
2011-09-01,Perlis,102.9,2.18
2011-09-01,Pulau Pinang,103.9,3.49
2011-09-01,Sabah,103.5,3.19
2011-09-01,Sarawak,103.0,2.49
2011-09-01,Selangor,104.0,3.69
2011-09-01,Terengganu,104.4,3.88
2011-09-01,W.P. Kuala Lumpur,103.1,2.69
2011-09-01,W.P. Labuan,104.4,4.09
2011-09-01,W.P. Putrajaya,103.8,3.39
2011-10-01,Johor,104.2,3.68
2011-10-01,Kedah,104.0,3.38
2011-10-01,Kelantan,104.8,4.07
2011-10-01,Melaka,103.6,3.19
2011-10-01,Negeri Sembilan,104.7,3.97
2011-10-01,Pahang,104.0,3.59
2011-10-01,Perak,103.8,3.28
2011-10-01,Perlis,103.3,2.38
2011-10-01,Pulau Pinang,104.2,3.58
2011-10-01,Sabah,103.6,3.08
2011-10-01,Sarawak,103.2,2.48
2011-10-01,Selangor,104.2,3.68
2011-10-01,Terengganu,104.5,4.08
2011-10-01,W.P. Kuala Lumpur,103.4,2.89
2011-10-01,W.P. Labuan,104.9,4.38
2011-10-01,W.P. Putrajaya,104.3,3.78
2011-11-01,Johor,104.2,3.37
2011-11-01,Kedah,104.1,3.07
2011-11-01,Kelantan,104.8,3.56
2011-11-01,Melaka,103.9,3.28
2011-11-01,Negeri Sembilan,104.6,3.56
2011-11-01,Pahang,104.0,3.38
2011-11-01,Perak,103.8,2.98
2011-11-01,Perlis,103.1,1.78
2011-11-01,Pulau Pinang,104.3,3.47
2011-11-01,Sabah,103.8,3.08
2011-11-01,Sarawak,103.4,2.58
2011-11-01,Selangor,104.4,3.57
2011-11-01,Terengganu,104.4,3.37
2011-11-01,W.P. Kuala Lumpur,103.5,2.88
2011-11-01,W.P. Labuan,105.2,4.99
2011-11-01,W.P. Putrajaya,104.3,3.68
2011-12-01,Johor,104.4,3.26
2011-12-01,Kedah,104.2,2.86
2011-12-01,Kelantan,105.1,3.34
2011-12-01,Melaka,104.1,2.97
2011-12-01,Negeri Sembilan,104.7,3.15
2011-12-01,Pahang,104.2,2.96
2011-12-01,Perak,103.9,2.67
2011-12-01,Perlis,103.0,0.98
2011-12-01,Pulau Pinang,104.5,3.26
2011-12-01,Sabah,103.9,2.67
2011-12-01,Sarawak,103.5,2.27
2011-12-01,Selangor,104.4,3.26
2011-12-01,Terengganu,104.6,2.95
2011-12-01,W.P. Kuala Lumpur,103.5,2.58
2011-12-01,W.P. Labuan,105.2,4.57
2011-12-01,W.P. Putrajaya,104.6,3.77
2012-01-01,Johor,105.0,3.24
2012-01-01,Kedah,104.6,2.75
2012-01-01,Kelantan,105.6,3.12
2012-01-01,Melaka,104.4,2.55
2012-01-01,Negeri Sembilan,104.9,2.74
2012-01-01,Pahang,104.4,2.76
2012-01-01,Perak,104.2,2.36
2012-01-01,Perlis,103.0,0.49
2012-01-01,Pulau Pinang,104.8,2.85
2012-01-01,Sabah,104.3,2.36
2012-01-01,Sarawak,103.8,2.17
2012-01-01,Selangor,104.6,2.75
2012-01-01,Terengganu,104.9,2.54
2012-01-01,W.P. Kuala Lumpur,103.8,2.17
2012-01-01,W.P. Labuan,105.6,4.45
2012-01-01,W.P. Putrajaya,104.8,2.95
2012-02-01,Johor,104.7,2.25
2012-02-01,Kedah,104.5,2.15
2012-02-01,Kelantan,105.3,2.63
2012-02-01,Melaka,104.2,1.86
2012-02-01,Negeri Sembilan,104.8,1.95
2012-02-01,Pahang,104.4,2.35
2012-02-01,Perak,104.0,1.76
2012-02-01,Perlis,104.0,1.46
2012-02-01,Pulau Pinang,104.7,2.35
2012-02-01,Sabah,104.4,2.25
2012-02-01,Sarawak,103.9,1.76
2012-02-01,Selangor,104.6,2.05
2012-02-01,Terengganu,104.6,2.05
2012-02-01,W.P. Kuala Lumpur,104.0,2.06
2012-02-01,W.P. Labuan,106.0,4.64
2012-02-01,W.P. Putrajaya,105.0,2.44
2012-03-01,Johor,104.5,2.15
