Month,Transport CPI YoY %,RON97 RM,RON97 YoY %
2018-03-01,-1.51,2.466,2.32
2018-04-01,0.43,2.47,-1.0
2018-05-01,3.79,2.47,4.66
2018-06-01,5.51,2.588,15.02
2018-07-01,6.67,2.568,15.26
2018-08-01,2.1,2.648,10.24
2018-10-01,0.77,2.79,12.14
2018-11-01,-2.33,2.81,13.31
2018-12-01,-2.01,2.5,-3.55
2019-01-01,-7.75,2.302,-9.37
2019-02-01,-6.79,2.29,-10.37
2019-03-01,-2.98,2.534,0.16
2019-04-01,-2.55,2.73,10.71
2019-05-01,-2.46,2.735,10.73
2019-06-01,-2.05,2.478,0.32
2019-07-01,-1.88,2.583,-0.19
2019-08-01,-2.05,2.506,-2.41
2019-09-01,-2.22,2.622,-0.98
2019-10-01,-2.3,2.635,-5.56
2019-11-01,-2.38,2.63,-6.41
2019-12-01,-1.88,2.623,4.92
2020-01-01,3.88,2.573,11.77
2020-02-01,2.43,2.378,3.84
2020-03-01,-8.85,1.928,-23.91
2020-04-01,-21.47,1.563,-42.75
2020-05-01,-20.82,1.624,-40.62
2020-06-01,-14.34,1.88,-24.13
2020-07-01,-10.3,1.993,-22.84
2020-08-01,-9.87,1.984,-20.83
2020-09-01,-9.95,1.97,-24.87
2020-10-01,-10.19,1.968,-25.31
2020-11-01,-11.06,1.935,-26.43
2020-12-01,-8.44,2.052,-21.77
2021-01-01,-5.13,2.174,-15.51
2021-02-01,-2.02,2.285,-3.91
2021-03-01,9.81,2.43,26.04
2021-04-01,27.0,2.552,63.28
2021-05-01,25.96,2.605,60.41
2021-06-01,16.63,2.655,41.22
2021-07-01,11.58,2.718,36.38
2021-08-01,11.05,2.735,37.85
2021-09-01,11.05,2.738,38.98
2021-10-01,11.35,2.87,45.83
2021-11-01,12.73,3.068,58.55
2021-12-01,9.51,3.0,46.2
2022-01-01,6.05,3.073,41.35
2022-02-01,3.85,3.223,41.05
2022-03-01,2.63,3.788,55.88
2022-04-01,2.97,3.843,50.59
2022-05-01,3.93,4.32,65.83
2022-06-01,5.42,4.786,80.26
2022-07-01,5.58,4.688,72.48
2022-08-01,5.24,4.388,60.44
2022-09-01,5.32,4.14,51.21
2022-10-01,5.23,3.95,37.63
2022-11-01,4.95,3.95,28.75
2022-12-01,4.95,3.57,19.0
2023-01-01,3.98,3.35,9.01
2023-02-01,3.71,3.35,3.94
2023-03-01,2.39,3.35,-11.56
2023-04-01,2.29,3.35,-12.83
2023-05-01,1.01,3.35,-22.45
2023-06-01,0.0,3.37,-29.59
2023-07-01,-0.41,3.37,-28.11
2023-08-01,0.0,3.37,-23.2
2023-09-01,-0.08,3.37,-18.6
2023-10-01,0.0,3.42,-13.42
2023-11-01,0.08,3.47,-12.15
2023-12-01,0.33,3.47,-2.8
2024-01-01,0.75,3.47,3.58
2024-02-01,1.25,3.47,3.58
2024-03-01,1.25,3.47,3.58
2024-04-01,0.83,3.47,3.58
2024-05-01,0.92,3.47,3.58
2024-06-01,1.16,3.47,2.97
2024-07-01,1.24,3.47,2.97
2024-08-01,1.33,3.46,2.67
2024-09-01,1.08,3.258,-3.32
2024-10-01,0.75,3.19,-6.73
2024-11-01,0.41,3.19,-8.07
2024-12-01,0.41,3.213,-7.41
2025-01-01,0.91,3.37,-2.88
2025-02-01,0.74,3.43,-1.15
2025-03-01,0.66,3.305,-4.76
2025-04-01,0.74,3.242,-6.57
2025-05-01,0.66,3.11,-10.37
2025-06-01,0.33,3.122,-10.03
2025-07-01,0.41,3.19,-8.07
2025-08-01,0.25,3.148,-9.02
2025-09-01,0.66,3.194,-1.96
2025-10-01,-0.08,3.175,-0.47
2025-11-01,0.16,3.248,1.82
2025-12-01,0.08,3.24,0.84
2026-01-01,-0.74,3.11,-7.72
2026-02-01,-0.73,3.113,-9.24
2026-03-01,1.55,4.2,27.08
2026-04-01,4.09,5.03,55.15
2026-05-01,3.77,4.775,53.54
2026-06-01,2.78,4.288,37.35
2026-07-01,1.39,4.12,29.15
